KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ENSMUSG00000049760.5	4139	2702	2037	3726	5775	3547	4273	4852	2205	3257	4113	3385
ENSMUSG00000049761.6	0	0	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000049764.8	64	71	49	49	101	95	30	93	52	75	73	83
ENSMUSG00000049775.16	64017	48467	48501	56706	99554	71782	62203	83656	29281	62240	74894	54703
ENSMUSG00000049791.4	39	81	21	40	33	36	27	73	17	37	61	45
ENSMUSG00000049792.6	634	750	755	673	862	670	474	1103	521	801	1059	762
ENSMUSG00000049796.4	0	0	0	0	7	0	0	0	0	0	0	0
ENSMUSG00000049797.4	0	0	0	0	0	0	2	0	0	0	0	0
ENSMUSG00000049799.13	3	0	0	8	3	10	2	9	8	3	6	0
ENSMUSG00000049800.13	239	148	173	246	352	211	215	309	184	209	323	250
ENSMUSG00000049804.9	2355	1125	1162	1407	2788	2058	2630	1947	770	1579	1719	1622
ENSMUSG00000049806.4	0	0	4	0	0	0	0	0	0	0	0	0
ENSMUSG00000049807.16	27	34	32	21	23	10	26	32	15	15	31	12
ENSMUSG00000049809.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049811.16	15	17	10	12	18	13	2	13	17	9	13	9
ENSMUSG00000049815.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049823.9	163	337	273	217	151	152	86	451	285	216	317	209
ENSMUSG00000049832.6	25	31	13	25	30	11	18	35	15	21	30	9
ENSMUSG00000049843.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049848.7	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000049858.8	89	99	68	138	122	91	66	127	61	78	137	94
ENSMUSG00000049864.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049866.12	45	88	36	38	37	50	44	78	57	46	63	43
ENSMUSG00000049871.13	3	1	7	0	2	1	2	2	2	0	0	0
ENSMUSG00000049872.8	27	30	9	16	20	21	21	35	18	19	22	30
ENSMUSG00000049878.13	300	283	168	253	391	384	239	400	207	248	325	341
ENSMUSG00000049881.13	471	655	641	378	512	412	321	784	509	546	692	442
ENSMUSG00000049882.9	337	292	223	309	435	227	226	408	236	280	404	276
ENSMUSG00000049891.4	16	9	2	5	13	10	9	17	4	5	10	5
ENSMUSG00000049892.7	27	21	44	27	23	27	10	43	35	17	19	11
ENSMUSG00000049894.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049897.14	0	0	0	0	0	0	2	0	0	1	1	0
ENSMUSG00000049902.6	5	0	0	5	1	2	1	0	0	0	1	0
ENSMUSG00000049904.7	138	161	156	153	152	100	149	262	162	104	205	125
ENSMUSG00000049907.8	136	138	173	108	185	120	82	188	95	115	177	117
ENSMUSG00000049908.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049916.10	15	30	16	31	18	13	9	28	38	23	19	21
ENSMUSG00000049922.8	27	58	52	36	32	28	30	108	49	33	48	25
ENSMUSG00000049926.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049928.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049929.7	619	522	453	400	777	554	498	538	198	383	453	513
ENSMUSG00000049932.3	2540	4100	3890	2558	2782	2202	1455	5060	3006	3441	4216	2694
ENSMUSG00000049939.6	35	54	73	75	131	60	44	85	69	99	114	70
ENSMUSG00000049940.7	647	967	761	623	930	697	551	1160	794	758	1102	817
ENSMUSG00000049946.7	17	5	11	2	16	9	5	7	12	7	15	12
ENSMUSG00000049950.6	682	407	221	572	1003	616	567	704	269	465	551	425
ENSMUSG00000049957.14	100	154	124	122	172	114	104	170	130	104	199	116
ENSMUSG00000049960.4	1100	1107	950	1189	1701	918	950	1532	761	1095	1410	980
ENSMUSG00000049969.3	632	628	458	532	1072	669	625	812	437	593	724	649
ENSMUSG00000049971.17	7	40	13	19	46	18	26	23	31	22	34	33
ENSMUSG00000049972.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000049985.15	6	4	0	12	6	2	0	3	0	7	4	2
ENSMUSG00000049988.4	1	2	12	3	0	0	1	14	0	2	4	0
ENSMUSG00000049999.4	8	19	1	6	19	7	2	14	5	13	12	3
ENSMUSG00000050002.14	191	283	206	192	228	152	139	356	219	249	253	241
ENSMUSG00000050010.8	1	10	1	0	0	1	2	4	1	3	9	2
ENSMUSG00000050014.7	1	0	0	0	0	0	1	0	0	1	0	0
ENSMUSG00000050015.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050017.11	478	692	543	475	605	463	326	964	549	693	851	490
ENSMUSG00000050022.16	22	22	10	42	28	23	14	38	21	24	39	27
ENSMUSG00000050023.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050028.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050029.7	1791	1145	1105	1245	2380	1678	2083	1789	834	1346	1543	1179
ENSMUSG00000050030.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050035.7	73	60	40	76	108	35	83	97	32	73	63	46
ENSMUSG00000050043.16	332	490	525	342	462	337	204	448	358	429	470	345
ENSMUSG00000050050.17	0	0	0	3	0	4	2	3	2	2	0	0
ENSMUSG00000050052.12	103	86	58	100	51	71	66	155	46	89	96	94
ENSMUSG00000050058.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050063.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050064.14	74	70	76	69	103	67	92	96	48	71	86	104
ENSMUSG00000050066.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050069.3	8	0	0	1	0	1	5	12	9	1	2	6
ENSMUSG00000050071.8	1199	1609	1593	1134	1703	1061	774	1606	933	1290	1520	1226
ENSMUSG00000050074.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050075.8	8	2	14	0	2	9	0	2	0	10	11	4
ENSMUSG00000050079.10	804	591	691	744	1009	716	773	1172	486	748	926	731
ENSMUSG00000050085.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050087.3	0	0	0	3	0	0	2	3	0	0	3	0
ENSMUSG00000050088.9	561	463	280	365	670	521	597	521	334	406	582	390
ENSMUSG00000050089.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050092.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050097.6	0	0	0	3	0	0	0	0	0	0	4	0
ENSMUSG00000050100.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050102.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050103.18	6	5	2	2	13	1	8	8	3	16	10	11
ENSMUSG00000050105.5	46	55	18	28	33	35	10	33	42	42	47	30
ENSMUSG00000050106.17	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050107.2	308	260	303	255	288	259	248	250	214	254	412	344
ENSMUSG00000050108.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050114.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050121.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050122.18	1	3	0	0	2	0	5	2	0	3	3	0
ENSMUSG00000050128.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050132.13	185	292	353	242	310	275	148	441	278	270	510	283
ENSMUSG00000050134.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050138.7	18	13	33	22	52	25	26	45	18	21	21	17
ENSMUSG00000050141.13	0	0	0	0	0	2	0	0	0	1	1	0
ENSMUSG00000050144.13	154	279	228	228	301	199	135	418	261	311	436	272
ENSMUSG00000050147.9	7	0	0	1	0	5	5	1	1	1	4	9
ENSMUSG00000050148.9	5104	3170	3487	3603	7222	5853	4080	4249	1776	3664	3934	4049
ENSMUSG00000050150.16	2	0	0	0	3	2	0	2	1	0	0	0
ENSMUSG00000050157.6	0	0	3	0	0	0	0	3	0	0	0	0
ENSMUSG00000050158.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050164.10	0	0	0	0	1	0	0	0	0	0	2	0
ENSMUSG00000050174.15	16	10	16	10	15	6	10	17	16	28	16	7
ENSMUSG00000050179.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050188.8	148	175	183	155	151	115	104	233	135	207	221	160
ENSMUSG00000050189.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050190.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050192.8	350	284	200	290	475	287	321	445	233	338	432	284
ENSMUSG00000050195.8	0	0	2	0	0	0	0	3	1	0	0	1
ENSMUSG00000050197.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050198.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050199.13	598	416	285	420	775	552	601	604	248	370	469	530
ENSMUSG00000050201.9	0	0	0	0	2	0	1	0	0	0	0	0
ENSMUSG00000050211.14	1	3	2	5	8	5	0	0	3	4	17	7
ENSMUSG00000050212.4	69	141	70	71	106	73	112	174	88	102	92	89
ENSMUSG00000050213.6	377	546	558	373	531	428	261	571	308	498	666	390
ENSMUSG00000050215.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050217.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050222.11	80	110	75	75	109	110	75	85	73	108	104	96
ENSMUSG00000050224.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050229.3	541	453	402	454	707	664	598	625	354	519	652	523
ENSMUSG00000050232.6	0	0	0	0	0	0	2	0	2	0	0	0
ENSMUSG00000050234.7	115	101	93	52	105	58	41	94	63	100	119	44
ENSMUSG00000050239.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050240.14	81	60	59	91	108	92	37	72	29	54	86	68
ENSMUSG00000050241.8	1	0	0	0	0	0	0	0	4	0	0	0
ENSMUSG00000050243.6	0	2	0	0	2	1	0	2	0	0	0	0
ENSMUSG00000050244.9	373	392	368	301	458	308	317	395	314	442	431	389
ENSMUSG00000050248.11	118	163	113	42	127	84	62	138	63	91	81	38
ENSMUSG00000050251.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050266.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050270.12	0	0	7	2	3	3	0	7	3	2	0	2
ENSMUSG00000050271.12	8	14	6	10	7	4	17	37	7	13	21	3
ENSMUSG00000050272.9	17	28	24	20	17	22	19	20	12	36	24	32
ENSMUSG00000050276.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050281.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050288.6	800	1222	1014	963	1167	891	714	1802	1044	1144	1609	1063
ENSMUSG00000050295.4	225	156	44	101	171	117	195	134	63	132	79	172
ENSMUSG00000050296.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050299.7	82	158	125	98	130	63	61	160	95	152	146	70
ENSMUSG00000050304.3	10	6	9	26	10	3	10	2	0	6	1	16
ENSMUSG00000050310.9	357	185	174	276	434	348	295	336	118	240	272	241
ENSMUSG00000050312.11	390	303	278	375	528	468	337	342	201	293	364	309
ENSMUSG00000050315.13	29	9	19	7	44	17	32	27	14	12	34	9
ENSMUSG00000050321.2	9	13	9	3	8	13	8	19	0	17	14	13
ENSMUSG00000050323.14	496	464	265	368	640	345	357	490	327	408	438	330
ENSMUSG00000050328.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050332.7	177	204	232	131	216	196	143	190	122	168	236	155
ENSMUSG00000050334.12	1992	874	672	1583	2916	1960	1759	2095	919	1395	1550	1338
ENSMUSG00000050335.17	11	9	4	5	5	4	10	8	6	12	5	16
ENSMUSG00000050343.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050345.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050350.8	0	1	0	0	0	0	0	0	0	0	1	1
ENSMUSG00000050357.9	102	190	177	157	156	114	39	245	155	175	263	147
ENSMUSG00000050359.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050366.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050368.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050370.4	2	4	2	0	1	1	0	5	5	11	4	0
ENSMUSG00000050373.13	166	186	200	190	230	158	138	359	121	188	289	201
ENSMUSG00000050377.8	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000050379.15	399	442	498	387	527	447	361	589	306	494	573	452
ENSMUSG00000050382.14	35	57	108	51	54	55	30	69	43	28	64	57
ENSMUSG00000050383.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050390.12	36	75	64	53	89	101	40	105	63	86	94	93
ENSMUSG00000050394.14	45	45	34	99	95	63	57	106	48	71	86	28
ENSMUSG00000050395.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050397.4	16	50	11	1	6	6	17	38	9	22	15	8
ENSMUSG00000050410.15	349	505	479	275	302	291	162	745	457	323	492	301
ENSMUSG00000050423.11	12	1	7	0	0	0	0	6	7	0	11	0
ENSMUSG00000050424.9	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000050425.2	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000050428.7	137	254	168	191	241	175	162	319	156	210	300	214
ENSMUSG00000050435.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050439.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050440.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050445.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050447.15	17	36	24	22	36	20	17	47	13	18	60	25
ENSMUSG00000050463.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050468.12	0	0	0	0	4	0	0	0	2	0	0	0
ENSMUSG00000050471.17	719	839	897	649	1016	708	586	927	507	752	939	654
ENSMUSG00000050473.5	49	36	40	57	40	47	13	25	20	24	32	34
ENSMUSG00000050478.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050490.7	3	8	0	7	5	1	4	1	0	2	5	3
ENSMUSG00000050493.8	0	2	0	1	0	1	0	0	3	2	6	0
ENSMUSG00000050503.8	4	4	0	17	4	20	11	4	25	14	10	5
ENSMUSG00000050504.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050505.7	36	8	17	1	28	12	31	16	22	12	18	13
ENSMUSG00000050511.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050520.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050526.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050530.14	332	309	197	209	306	246	304	424	224	195	281	195
ENSMUSG00000050533.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050534.8	16	3	11	12	11	6	9	0	4	6	24	3
ENSMUSG00000050538.8	90	92	86	93	132	84	89	128	82	74	114	64
ENSMUSG00000050541.14	4	3	2	0	5	11	0	7	2	0	0	4
ENSMUSG00000050545.10	11	6	15	7	33	10	9	23	2	10	12	7
ENSMUSG00000050549.8	77	91	37	77	114	58	103	84	20	60	49	57
ENSMUSG00000050550.7	4	5	2	2	5	4	3	6	5	2	7	5
ENSMUSG00000050552.8	584	838	886	745	861	485	359	1050	556	951	945	660
ENSMUSG00000050553.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050555.9	202	382	342	287	296	239	143	303	221	298	368	213
ENSMUSG00000050556.9	7	18	8	4	4	11	5	13	18	2	10	14
ENSMUSG00000050558.13	2	0	5	0	6	0	0	0	0	0	1	0
ENSMUSG00000050565.16	933	881	873	789	1073	697	779	1132	638	917	1001	769
ENSMUSG00000050567.16	235	315	343	191	344	311	187	299	149	215	298	252
ENSMUSG00000050577.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050578.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050587.14	30	33	33	16	40	42	16	40	9	18	53	27
ENSMUSG00000050592.8	14	16	0	11	4	31	10	13	11	8	16	11
ENSMUSG00000050600.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050603.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050605.17	142	183	99	123	121	134	64	173	86	123	145	139
ENSMUSG00000050608.11	4969	5584	5308	5235	7006	4245	4495	7419	3572	5557	6784	4777
ENSMUSG00000050612.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050613.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050619.14	200	168	173	153	196	175	144	242	121	162	214	232
ENSMUSG00000050621.7	15	13	2	7	20	8	11	3	10	16	9	4
ENSMUSG00000050623.4	4	5	4	0	6	1	9	7	5	0	2	18
ENSMUSG00000050625.4	0	0	0	1	0	0	0	0	0	1	4	0
ENSMUSG00000050627.13	1021	1171	973	1031	1702	1132	818	1568	1013	1241	1605	925
ENSMUSG00000050628.6	203	268	324	197	298	207	127	281	212	265	353	246
ENSMUSG00000050635.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050640.16	77	80	76	68	105	77	58	171	52	104	140	80
ENSMUSG00000050641.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050645.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050650.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050654.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050663.7	329	199	233	237	367	279	326	328	179	235	201	233
ENSMUSG00000050666.14	52	98	53	57	38	70	53	57	39	39	77	61
ENSMUSG00000050668.9	171	232	167	138	206	174	146	228	138	160	270	161
ENSMUSG00000050671.12	2	9	0	2	8	1	3	7	4	7	4	7
ENSMUSG00000050675.7	4	4	0	11	10	3	3	1	2	0	3	4
ENSMUSG00000050677.2	38	15	53	40	31	29	31	54	21	30	38	31
ENSMUSG00000050685.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050697.9	262	230	221	278	409	310	358	433	148	260	318	287
ENSMUSG00000050700.11	20	26	47	9	20	22	5	48	37	14	31	31
ENSMUSG00000050702.6	2	6	7	2	2	2	0	0	0	2	1	0
ENSMUSG00000050704.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050705.15	94	169	160	62	110	44	45	106	74	82	86	50
ENSMUSG00000050708.16	73	120	101	83	131	71	54	121	68	93	183	62
ENSMUSG00000050711.7	780	556	622	502	859	716	623	607	375	609	661	582
ENSMUSG00000050714.9	275	172	145	230	346	263	215	226	72	162	218	205
ENSMUSG00000050721.9	411	720	561	415	374	374	248	1082	608	541	689	507
ENSMUSG00000050730.17	277	184	172	214	343	221	298	261	182	255	284	231
ENSMUSG00000050732.9	106	92	63	42	49	45	50	84	52	98	90	55
ENSMUSG00000050737.13	21	38	16	19	25	21	9	49	15	19	19	23
ENSMUSG00000050742.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050747.14	1	3	0	0	1	0	4	4	2	0	1	1
ENSMUSG00000050751.14	135	218	173	162	275	147	110	251	153	255	264	203
ENSMUSG00000050756.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050761.3	22	40	29	35	50	17	38	57	17	33	59	41
ENSMUSG00000050762.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050763.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050765.3	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000050766.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050772.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050776.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050777.7	33	34	8	17	8	16	10	28	18	21	8	22
ENSMUSG00000050783.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050786.8	54	56	28	62	91	86	56	67	34	55	96	65
ENSMUSG00000050788.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050796.4	742	773	675	757	1158	796	557	1020	565	771	1036	678
ENSMUSG00000050799.3	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000050803.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050808.13	4	0	0	0	5	0	4	2	0	5	8	5
ENSMUSG00000050810.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050812.18	1683	1308	1214	1190	2167	1563	1677	1797	926	1441	1629	1414
ENSMUSG00000050813.7	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050815.6	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000050818.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050821.13	465	315	326	462	779	511	440	592	273	507	565	464
ENSMUSG00000050822.11	245	403	383	216	318	288	165	545	387	274	406	334
ENSMUSG00000050824.11	0	0	0	0	0	0	0	2	0	1	0	0
ENSMUSG00000050830.17	48	50	44	60	104	55	67	108	32	50	66	81
ENSMUSG00000050840.8	258	374	344	220	278	248	162	321	291	228	327	256
ENSMUSG00000050844.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050846.8	151	144	134	138	121	131	94	192	132	200	210	179
ENSMUSG00000050853.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050854.9	0	0	0	0	0	0	0	11	0	0	0	0
ENSMUSG00000050855.16	118	153	161	138	236	180	90	251	154	218	233	149
ENSMUSG00000050856.16	2141	2426	1934	2549	3332	2017	1833	3065	1530	2530	3142	2097
ENSMUSG00000050860.6	0	2	7	0	6	0	0	2	0	0	1	8
ENSMUSG00000050865.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050866.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050870.4	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000050875.11	25	35	9	15	22	27	23	37	16	27	19	27
ENSMUSG00000050876.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050890.15	473	447	335	421	623	634	416	683	188	418	593	457
ENSMUSG00000050891.9	325	215	145	226	291	224	384	455	137	269	257	191
ENSMUSG00000050896.12	5	1	1	2	16	3	0	10	6	4	13	4
ENSMUSG00000050900.5	2	2	2	2	7	5	7	7	2	2	13	3
ENSMUSG00000050901.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050908.12	46	73	85	73	119	65	37	145	82	69	164	71
ENSMUSG00000050910.5	180	212	199	154	270	171	170	267	179	242	256	183
ENSMUSG00000050912.15	2859	2287	1920	2079	3224	2348	3162	3188	1732	2104	2765	2011
ENSMUSG00000050914.16	139	127	98	101	145	96	95	160	89	160	161	102
ENSMUSG00000050917.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050919.9	37	18	6	21	24	23	26	45	4	22	13	22
ENSMUSG00000050921.12	0	0	0	0	0	0	1	2	0	1	4	2
ENSMUSG00000050926.5	14	15	11	18	20	10	4	9	9	9	11	15
ENSMUSG00000050930.5	238	126	162	139	321	221	213	208	72	180	206	133
ENSMUSG00000050931.7	33	27	18	12	33	22	24	17	12	21	58	26
ENSMUSG00000050933.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050936.5	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050944.14	12	18	9	1	11	9	9	18	1	15	12	3
ENSMUSG00000050945.7	60	76	92	57	90	54	30	74	28	69	75	50
ENSMUSG00000050947.9	178	219	189	255	318	223	133	376	198	236	357	246
ENSMUSG00000050953.10	1034	592	319	526	667	660	1177	772	373	431	529	762
ENSMUSG00000050954.15	19	11	7	8	22	29	10	35	7	33	29	39
ENSMUSG00000050957.4	18	15	13	4	17	8	10	18	11	11	6	17
ENSMUSG00000050961.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050963.7	226	207	174	175	325	259	259	300	168	276	219	247
ENSMUSG00000050965.14	82	67	63	74	101	51	42	72	48	62	93	72
ENSMUSG00000050966.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050967.5	4	5	0	7	2	4	3	2	5	0	8	10
ENSMUSG00000050973.11	29	36	10	34	22	36	5	47	35	31	58	33
ENSMUSG00000050974.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050978.3	0	2	1	2	1	0	5	2	0	0	3	0
ENSMUSG00000050982.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050989.9	799	1228	1292	817	1185	864	535	1531	1098	1086	1425	1023
ENSMUSG00000050994.20	2	0	1	1	1	1	0	6	0	1	2	0
ENSMUSG00000050996.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051000.17	2	2	0	0	1	0	1	0	0	0	2	0
ENSMUSG00000051002.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051003.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051007.15	147	207	252	191	219	147	104	330	148	188	264	173
ENSMUSG00000051008.5	0	0	2	0	2	0	0	5	0	0	1	0
ENSMUSG00000051022.7	31	57	58	60	60	39	25	42	29	52	80	36
ENSMUSG00000051029.8	113	117	93	70	247	130	135	168	86	129	86	96
ENSMUSG00000051034.7	107	101	90	82	133	97	63	96	51	79	95	95
ENSMUSG00000051036.12	0	0	0	0	0	0	0	4	0	0	0	0
ENSMUSG00000051037.15	47	18	29	41	57	37	48	31	15	38	67	65
ENSMUSG00000051038.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051041.7	20	5	2	19	11	15	24	22	1	8	19	16
ENSMUSG00000051043.16	20	30	2	19	23	27	16	17	10	12	14	20
ENSMUSG00000051046.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051048.17	17	10	11	3	20	19	10	10	2	10	12	22
ENSMUSG00000051050.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051051.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051054.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051056.5	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000051062.6	121	214	198	216	276	154	115	347	164	322	353	156
ENSMUSG00000051065.8	448	605	641	390	645	404	442	666	551	549	752	388
ENSMUSG00000051067.8	28	54	31	29	34	24	36	46	41	64	70	45
ENSMUSG00000051074.4	23	18	34	29	44	12	36	38	9	21	41	21
ENSMUSG00000051076.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051079.8	310	193	112	255	434	248	394	485	203	213	465	292
ENSMUSG00000051081.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051095.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051098.6	336	222	141	279	487	328	281	318	134	250	251	255
ENSMUSG00000051107.4	0	1	10	5	9	9	2	3	1	2	3	7
ENSMUSG00000051111.16	16	1	15	5	17	0	5	13	4	1	6	0
ENSMUSG00000051113.9	97	103	82	114	172	91	58	184	41	84	81	106
ENSMUSG00000051116.6	6	8	3	13	20	10	16	14	6	3	7	0
ENSMUSG00000051118.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051124.6	7	5	0	9	9	7	3	6	8	9	9	6
ENSMUSG00000051133.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051136.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051146.2	436	555	610	541	650	396	284	934	525	563	712	529
